OBJECTID;standID
307768;1
307869;1
307822;1
307769;1
307720;1
307970;1
307911;1
307870;1
307823;1
307770;1
307722;2
344347;1
307971;1
307912;1
307872;2
307826;2
307772;2
307723;2
307667;3
307618;3
307471;3
307415;3
344394;1
344348;1
307972;1
307915;2
307873;2
307773;2
307724;2
307669;3
307619;3
307570;3
307521;3
307472;3
307416;3
307361;3
344548;1
344493;1
344442;1
344396;4
344349;1
307975;2
307916;2
307828;2
307774;2
307725;2
307671;3
307620;3
307571;3
307522;3
307473;3
307417;3
307362;3
307303;3
307244;3
344703;1
344651;1
344601;1
344549;1
344496;4
344444;4
344398;4
344352;2
307976;2
307917;2
307775;2
307727;5
307676;6
307621;3
307572;3
307523;3
307474;3
307418;3
307363;3
307304;3
307245;3
307187;7
344758;1
344704;1
344652;1
344602;1
344552;4
344497;4
344446;4
344399;2
344354;2
307977;2
307920;5
307875;5
307831;5
307778;5
307728;5
307677;5
307624;6
307574;6
307525;6
307476;6
307420;6
307365;6
307308;6
307248;7
307188;7
307137;7
344857;8
344813;8
344759;1
344705;1
344653;1
344605;4
344553;4
344499;4
344447;2
344401;2
344355;2
307979;2
307921;5
307876;5
307832;5
307779;5
307729;5
307679;5
307625;5
307575;6
307526;6
307477;6
307421;6
307366;6
307310;6
307250;7
307189;7
307138;7
307086;7
344956;8
344907;8
344858;8
344814;8
344762;8
344708;4
344655;4
344606;4
344554;4
344500;2
344449;2
344402;2
344356;2
307780;5
307730;5
307680;5
307627;5
307577;6
307527;6
307478;6
307422;6
307368;6
307311;7
307251;7
307190;7
307139;7
307087;7
344957;8
344908;8
344859;8
344815;8
344764;8
344709;8
344656;4
344607;4
344555;4
344503;4
344450;2
344403;2
344357;2
307982;2
307922;2
307878;2
307836;5
307781;5
307731;5
307681;5
307629;5
307579;6
307529;6
307480;6
307424;6
307369;9
307314;7
307253;7
307191;7
307140;7
307088;7
307040;7
344909;8
344860;8
344816;8
344765;8
344712;4
344657;4
344608;4
344556;4
344504;4
344453;4
344404;2
344358;2
307983;2
307924;2
307880;5
307837;5
307783;5
307733;5
307683;5
307631;5
307582;5
307530;9
307481;9
307425;9
307372;9
307315;9
307254;9
307192;7
307141;7
307089;7
307042;7
345012;8
344959;8
344910;8
344861;8
344817;8
344768;4
344713;4
344658;4
344609;4
344557;4
344506;4
344455;4
344406;2
344359;2
307984;2
307927;10
307882;10
307838;10
307784;10
307734;10
307684;10
307632;10
307584;10
307533;9
307482;9
307426;9
307373;9
307316;9
307256;9
307194;7
307142;7
307090;7
307043;7
345206;8
345157;8
345110;8
345065;4
345014;4
344961;4
344912;4
344864;4
344819;4
344769;4
344714;4
344659;4
344611;4
344559;4
344507;2
344456;2
344408;2
344360;2
307985;2
307930;10
307884;10
307840;10
307786;10
307735;10
307685;10
307633;10
307586;10
307535;9
307483;9
307427;9
307374;9
307317;9
307258;9
307196;7
307143;7
307091;7
307044;7
306991;7
345315;8
345260;8
345207;8
345158;8
345113;4
345066;4
345015;4
344962;4
344913;4
344865;4
344820;4
344770;4
344715;4
344661;4
344612;2
344560;2
344509;2
344457;2
344409;2
344361;2
307986;2
307932;10
307885;10
307841;10
307787;10
307736;10
307686;10
307634;10
307587;10
307536;10
307485;9
307428;9
307375;9
307318;9
307259;9
307199;11
307145;11
307093;11
307046;11
306994;11
345316;8
345261;8
345210;4
345160;4
345114;4
345067;4
345016;4
344964;4
344914;2
344866;2
344822;4
344772;4
344717;4
344662;2
344614;2
344561;2
344510;2
344458;2
344410;2
344362;2
307987;2
307934;10
307886;10
307842;10
307788;10
307737;10
307687;10
307635;10
307588;10
307538;10
307487;9
307429;9
307376;9
307320;9
307260;12
307202;11
307146;11
307094;11
307047;11
306996;11
306935;11
345317;8
345263;8
345211;4
345161;4
345115;4
345068;4
345017;4
344965;2
344916;2
344868;2
344823;2
344773;2
344718;2
344664;2
344615;2
344562;2
344511;2
344459;2
344411;2
344363;2
307988;2
307936;10
307887;10
307843;10
307789;10
307738;10
307688;10
307636;10
307589;10
307539;10
307489;10
307431;9
307377;12
307321;12
307262;12
307203;12
307147;11
307095;11
307048;11
306997;11
306937;11
306882;11
345502;13
345458;13
345418;13
345372;13
345321;4
345265;4
345212;4
345163;4
345117;4
345070;4
345019;4
344969;14
344918;14
344870;14
344824;2
344774;2
344721;15
344665;2
344616;2
344563;2
344512;2
344461;15
344414;15
344365;15
307990;15
307938;10
307888;10
307844;10
307790;10
307739;10
307689;10
307637;10
307590;10
307540;10
307492;10
307432;12
307379;12
307323;12
307263;12
307205;12
307149;11
307096;11
307049;11
306998;11
306938;11
306884;11
306832;11
345503;13
345459;13
345419;13
345373;13
345322;13
345266;4
345214;4
345164;16
345118;16
345071;16
345020;16
344972;14
344919;14
344871;14
344826;14
344777;14
344722;14
344668;15
344618;15
344566;15
344514;15
344462;15
344415;15
344366;15
307991;15
307940;10
307889;10
307845;10
307791;10
307740;10
307690;10
307638;10
307591;10
307541;10
307494;10
307433;12
307380;12
307324;12
307264;12
307207;12
307150;12
307098;11
307050;11
306999;11
306939;11
306885;11
306834;11
306776;11
345504;13
345460;13
345420;13
345374;13
345325;4
345267;4
345216;4
345166;16
345119;16
345072;16
345021;16
344973;16
344921;14
344872;14
344827;14
344778;14
344724;14
344669;15
344619;15
344567;15
344515;15
344463;15
344416;15
344367;15
307992;15
307942;10
307890;10
307846;10
307792;10
307741;10
307691;10
307639;10
307592;10
307543;10
307496;10
307437;17
307381;12
307325;12
307208;12
307152;12
307099;12
307051;11
307000;11
306940;11
306886;11
306835;11
306777;11
345461;13
345421;13
345375;13
345327;4
345268;4
345219;4
345167;16
345120;16
345073;16
345022;16
344975;16
344922;16
344874;14
344828;14
344779;14
344727;15
344670;15
344620;15
344568;15
344516;15
344464;15
344417;15
344368;15
307994;15
307944;10
307891;10
307848;10
307793;17
307742;17
307692;17
307640;17
307593;17
307544;17
307497;17
307439;17
307384;17
307209;12
307153;12
307101;12
307052;11
307001;11
306941;11
306887;11
306836;11
306779;11
345463;18
345423;18
345377;13
345328;19
345269;19
345220;19
345169;19
345122;19
345077;14
345024;14
344977;14
